date,hs300
2013/12/25,2305.11
2013/12/26,2265.33
2013/12/27,2303.48
2013/12/30,2299.46
2013/12/31,2330.03
2014/1/2,2321.98
2014/1/3,2290.78
2014/1/6,2238.64
2014/1/7,2238
2014/1/8,2241.91
2014/1/9,2222.22
2014/1/10,2204.85
2014/1/13,2193.68
2014/1/14,2212.85
2014/1/15,2208.94
2014/1/16,2211.84
2014/1/17,2178.49
2014/1/20,2165.99
2014/1/21,2187.41
2014/1/22,2243.8
2014/1/23,2231.89
2014/1/24,2245.68
2014/1/27,2215.92
2014/1/28,2219.85
2014/1/29,2227.78
2014/1/30,2202.45
2014/2/7,2212.48
2014/2/10,2267.53
2014/2/11,2285.56
2014/2/12,2291.25
2014/2/13,2279.55
2014/2/14,2295.57
2014/2/17,2311.65
2014/2/18,2282.44
2014/2/19,2308.66
2014/2/20,2287.44
2014/2/21,2264.29
2014/2/24,2214.51
2014/2/25,2157.91
2014/2/26,2163.4
2014/2/27,2154.11
2014/2/28,2178.97
2014/3/3,2190.37
2014/3/4,2184.27
2014/3/5,2163.98
2014/3/6,2173.63
2014/3/7,2168.36
2014/3/10,2097.79
2014/3/11,2108.66
2014/3/12,2114.13
2014/3/13,2140.33
2014/3/14,2122.84
2014/3/17,2143.04
2014/3/18,2138.13
2014/3/19,2120.87
2014/3/20,2086.97
2014/3/21,2158.8
2014/3/24,2176.55
2014/3/25,2174.44
2014/3/26,2171.05
2014/3/27,2155.71
2014/3/28,2151.97
2014/3/31,2146.3
2014/4/1,2163.11
2014/4/2,2180.73
2014/4/3,2165.01
2014/4/4,2185.47
2014/4/8,2237.32
2014/4/9,2238.62
2014/4/10,2273.76
2014/4/11,2270.67
2014/4/14,2268.61
2014/4/15,2229.46
2014/4/16,2232.53
2014/4/17,2224.8
2014/4/18,2224.48
2014/4/21,2187.25
2014/4/22,2196.79
2014/4/23,2194.67
2014/4/24,2190.47
2014/4/25,2167.83
2014/4/28,2134.97
2014/4/29,2158.47
2014/4/30,2158.66
2014/5/5,2156.47
2014/5/6,2157.33
2014/5/7,2137.32
2014/5/8,2135.5
2014/5/9,2133.91
2014/5/12,2180.05
2014/5/13,2174.85
2014/5/14,2172.37
2014/5/15,2144.08
2014/5/16,2145.95
2014/5/19,2115.14
2014/5/20,2115.77
2014/5/21,2135.9
2014/5/22,2130.87
2014/5/23,2148.41
2014/5/26,2155.98
2014/5/27,2147.28
2014/5/28,2169.35
2014/5/29,2155.16
2014/5/30,2156.46
2014/6/3,2149.92
2014/6/4,2128.27
2014/6/5,2150.6
2014/6/6,2134.72
2014/6/9,2134.28
2014/6/10,2161.27
2014/6/11,2160.77
2014/6/12,2153.41
2014/6/13,2176.24
2014/6/16,2191.85
2014/6/17,2169.67
2014/6/18,2160.24
2014/6/19,2126.91
2014/6/20,2136.73
2014/6/23,2134.11
2014/6/24,2144.82
2014/6/25,2133.37
2014/6/26,2149.08
2014/6/27,2150.26
2014/6/30,2165.12
2014/7/1,2164.56
2014/7/2,2170.87
2014/7/3,2180.19
2014/7/4,2178.7
2014/7/7,2176.29
2014/7/8,2180.47
2014/7/9,2148.71
2014/7/10,2142.85
2014/7/11,2148.01
2014/7/14,2171.76
2014/7/15,2174.98
2014/7/16,2170.87
2014/7/17,2157.07
2014/7/18,2164.14
2014/7/21,2166.29
2014/7/22,2192.7
2014/7/23,2197.83
2014/7/24,2237.01
2014/7/25,2260.45
2014/7/28,2323.9
2014/7/29,2331.37
2014/7/30,2322.01
2014/7/31,2350.25
2014/8/1,2329.4
2014/8/4,2375.62
2014/8/5,2369.35
2014/8/6,2363.22
2014/8/7,2327.46
2014/8/8,2331.13
2014/8/11,2365.35
2014/8/12,2357.05
2014/8/13,2358.9
2014/8/14,2335.95
2014/8/15,2360.63
2014/8/18,2374.56
2014/8/19,2374.77
2014/8/20,2366.14
2014/8/21,2354.24
2014/8/22,2365.36
2014/8/25,2342.86
2014/8/26,2324.09
2014/8/27,2327.59
2014/8/28,2311.28
